Name,Pitches,Velo,Max_Velo,SpinRate,IVB,HB,RelHeight,Extension,Stuff
Aaron Bummer,1098,89.08,97.3,2258.04,0.64,0.64,5.18,6.5,109.55
Aaron Civale,2002,86.4,94.9,2610.25,3.92,1.22,6.35,5.68,118.96
Aaron Loup,832,87.33,94.6,2199.07,2.87,12.83,4.47,6.11,118.26
Adam Cimber,364,82.23,87.9,2234.35,3.07,-5.5,2.02,6.58,131.4
Adam Oller,412,88.83,96.0,2136.36,7.47,-0.87,5.79,6.29,99.51
Adrian Morejon,160,90.52,97.9,2446.2,8.86,0.89,6.04,6.6,117.08
Adrián Martínez,943,89.38,96.6,2123.22,3.77,-13.12,5.63,6.17,101.5
Albert Abreu,1044,93.33,100.2,2130.68,11.21,-9.1,5.74,6.62,118.55
Alec Marsh,1342,89.1,97.4,2348.78,5.59,-3.85,5.67,6.37,109.02
Alek Manoah,1663,88.32,95.8,2215.1,8.88,-4.31,5.79,6.78,109.9
Alex Cobb,2491,90.4,97.1,2004.89,1.28,-9.62,5.77,5.91,106.76
Alex Faedo,1034,87.92,95.9,2421.54,8.32,-5.81,6.1,5.87,104.47
Alex Lange,1145,90.02,97.9,2159.87,0.89,-6.47,5.72,6.42,147.92
Alex Wood,1690,87.27,95.4,1910.08,3.68,9.93,4.76,6.25,125.47
Amir Garrett,460,90.87,97.8,2080.88,10.54,5.94,5.95,6.33,97.41
Andrew Chafin,618,88.77,95.3,2291.52,7.72,8.15,6.35,6.71,105.33
Andrew Heaney,2602,88.41,96.9,2392.37,9.09,10.73,5.01,6.46,119.0
Andrew Kittredge,186,92.16,96.2,2465.67,7.89,-5.44,5.83,6.59,119.36
Andrew Saalfrank,156,89.18,94.8,2122.54,0.93,5.71,6.18,6.04,94.53
Andrew Vasquez,199,82.13,90.6,2543.64,-2.05,-12.42,5.71,6.1,100.43
Andrew Wantz,642,89.69,96.2,2456.78,10.75,2.15,6.02,6.29,122.05
Andrés Muñoz,822,93.81,101.9,2233.82,6.84,-5.07,5.03,6.44,150.27
Angel Felipe,248,90.2,98.1,2146.84,3.84,-6.14,6.03,6.79,118.68
Angel Zerpa,707,91.05,96.7,2023.49,7.11,8.24,5.49,5.48,105.36
Anthony Bass,322,88.88,96.2,2124.43,4.52,-2.45,5.82,6.54,111.33
Anthony DeSclafani,1508,89.35,96.0,2100.77,7.8,-5.03,5.52,6.49,101.41
Anthony Misiewicz,240,86.75,94.5,2426.22,3.44,-1.32,5.99,6.02,111.7
Aroldis Chapman,1002,95.58,103.8,2298.5,12.94,1.99,6.08,7.16,164.84
Austin Adams,361,88.68,95.8,2900.14,0.57,5.7,5.24,5.86,137.0
Austin Cox,578,87.04,94.9,2102.26,9.6,1.56,6.27,6.12,88.3
Austin Pruitt,745,88.12,93.8,2466.33,5.05,0.19,5.89,5.66,100.36
Austin Voth,660,86.5,95.3,2586.2,6.24,4.4,5.66,6.35,125.41
Bailey Ober,2325,86.26,94.0,2199.03,8.76,-5.39,5.83,7.25,117.96
Beau Brieske,624,93.1,98.9,2297.63,11.31,-8.14,5.91,6.06,112.48
Ben Joyce,201,98.15,103.2,2434.69,9.72,-9.53,4.77,7.05,175.81
Blake Snell,3164,90.08,98.8,2295.61,10.04,1.71,6.59,6.88,130.21
Bowden Francis,539,86.24,97.8,2534.41,6.03,2.47,5.93,6.78,127.63
Brad Keller,863,88.97,97.8,2322.82,3.09,2.35,6.15,6.07,91.87
Braden Bristo,114,88.27,93.5,2374.37,7.52,-2.63,5.08,5.74,112.44
Brady Singer,2603,88.35,96.2,2293.7,5.73,-6.02,5.28,6.99,115.82
Brandon Bielak,1386,88.25,94.8,2230.69,4.64,-5.76,6.22,5.54,91.39
Brandon Pfaadt,1611,89.27,96.1,2460.03,9.3,-2.44,5.48,6.75,122.18
Brandon Walter,365,85.92,93.6,2275.3,1.92,3.05,5.34,6.64,100.67
Brayan Bello,2617,91.22,97.7,2004.05,3.58,-11.92,5.23,6.35,109.96
Brendan White,652,88.64,97.5,2600.55,3.46,4.13,4.82,6.46,131.64
Brennan Bernardino,863,85.07,93.0,2311.89,2.64,1.45,5.01,5.8,98.3
Brent Headrick,493,86.69,94.4,2106.31,11.1,6.91,6.17,6.63,95.68
Brent Honeywell,941,89.27,97.3,2092.67,9.51,-5.11,6.07,6.29,92.85
Brock Burke,911,92.5,98.3,2192.98,12.38,7.4,6.12,7.05,116.67
Brock Stewart,435,92.97,99.7,2441.56,9.31,-2.04,5.49,6.24,127.44
Bruce Zimmermann,214,85.62,92.3,2300.8,2.35,6.08,6.06,6.16,101.14
Bryan Abreu,1205,91.63,100.9,2697.27,4.7,2.23,5.69,6.51,141.15
Bryan Baker,782,90.64,98.1,2224.44,13.19,-1.51,6.6,6.54,129.09
Bryan Shaw,773,89.8,97.6,2375.87,3.76,3.96,6.05,5.83,99.83
Bryan Woo,1444,92.7,98.4,2169.93,9.88,-6.46,4.95,6.86,164.99
Bryce Jarvis,370,90.04,97.5,2193.45,6.82,-3.76,5.68,5.85,101.21
Bryce Miller,2090,91.61,98.0,2480.62,11.87,-2.26,5.64,6.25,121.01
Cal Quantrill,1707,89.46,95.9,2007.01,9.17,-6.87,6.31,6.48,112.56
Caleb Thielbar,481,86.06,95.4,2365.32,6.59,-3.29,6.04,6.32,106.5
Calvin Faucher,512,90.42,97.3,2636.36,5.01,3.19,6.06,5.71,145.49
Camilo Doval,1126,95.3,103.2,2463.61,6.16,-5.36,5.34,6.65,131.14
Carlos Estévez,1120,94.29,100.0,2155.53,12.67,-5.02,5.78,6.35,122.79
Carlos Hernández,1233,94.08,102.6,2223.11,10.78,-6.11,6.04,6.64,137.28
Carlos Rodón,1127,91.04,99.8,2364.35,9.8,1.65,6.43,6.27,112.14
Carson Fulmer,157,87.83,94.0,2024.26,4.8,-7.86,5.89,6.26,95.91
Chad Green,195,91.18,97.1,2444.87,10.39,-1.77,6.04,6.69,128.39
Chad Smith,243,90.64,97.2,2149.18,5.7,-10.09,5.49,6.04,104.25
Chase Silseth,869,89.89,98.8,2274.78,5.91,-1.7,6.04,5.92,102.02
Chasen Shreve,686,85.45,92.0,1733.77,7.89,7.43,5.54,6.36,106.39
Chris Bassitt,3123,85.59,96.0,2134.41,4.52,-4.14,5.63,6.31,100.74
Chris Devenski,672,85.97,96.5,1925.34,7.58,-9.51,6.46,6.34,137.01
Chris Flexen,725,87.1,94.1,2086.78,10.75,0.93,6.81,6.31,102.61
Chris Martin,721,93.06,98.1,2096.79,9.65,-4.9,6.05,6.54,108.21
Chris Murphy,861,87.41,96.7,2287.54,6.08,-1.41,5.37,6.36,116.53
Chris Sale,1668,86.81,99.0,2181.16,3.76,5.72,5.23,6.37,101.27
Chris Stratton,479,89.32,95.3,2663.75,7.75,-0.51,5.85,6.61,115.01
Cionel Pérez,874,91.92,99.1,2337.37,4.63,2.98,5.47,5.97,106.35
Clarke Schmidt,2704,88.9,96.8,2772.38,3.65,4.04,5.57,6.33,142.65
Clay Holmes,1022,93.1,99.1,2274.9,1.14,-8.62,6.56,5.94,229.7
Cody Bradford,974,87.26,93.1,2043.91,14.47,8.12,6.03,7.35,133.05
Cody Morris,165,89.29,97.1,2302.76,8.0,-1.38,6.11,6.41,110.37
Cole Irvin,1267,87.24,95.3,1950.7,8.34,6.23,6.2,6.35,93.16
Cole Ragans,1571,90.69,101.0,2394.34,8.46,7.48,6.26,6.12,113.1
Cole Sands,413,88.94,95.9,2191.24,5.17,-5.81,5.61,5.73,114.07
Colin Poche,927,89.72,94.6,2318.5,14.56,-2.56,6.32,7.14,140.07
Collin Snider,366,90.8,98.1,2585.28,2.63,-1.39,5.11,6.12,146.14
Colten Brewer,104,88.65,95.3,2592.47,1.59,5.79,6.13,6.43,115.11
Cooper Criswell,552,83.11,91.1,2185.56,2.8,-1.69,5.13,6.85,155.48
Corey Kluber,966,84.46,90.4,2306.04,6.24,-1.25,5.03,6.48,124.74
Cristian Javier,2857,87.21,95.4,2400.8,11.14,1.22,5.72,5.99,121.6
DL Hall,371,91.05,99.0,2254.07,9.36,4.52,5.36,6.93,145.39
Dallas Keuchel,658,83.64,89.1,2038.57,4.94,7.72,6.17,5.98,106.02
Dane Dunning,2689,87.01,93.9,2118.01,4.7,-6.09,5.45,6.79,102.18
Daniel Lynch IV,807,88.26,95.4,2014.89,10.79,4.68,5.91,6.99,116.77
Daniel Norris,257,85.13,93.6,1949.76,7.5,6.3,5.52,6.12,109.92
Danny Coulombe,817,85.85,93.6,2546.66,1.73,-1.97,6.03,5.71,103.11
Dany Jiménez,402,85.92,95.8,2225.34,7.19,-1.94,6.45,5.63,116.44
Darren McCaughan,112,83.67,91.6,2234.91,7.28,0.06,5.03,6.74,140.84
Davis Daniel,218,87.32,95.6,2172.09,8.2,0.03,5.67,6.54,108.02
Dean Kremer,2919,89.83,97.5,2271.31,9.33,-5.54,5.85,6.27,111.38
Declan Cronin,193,89.6,96.9,2635.45,-0.19,0.24,5.2,6.14,143.15
Deivi García,289,89.37,97.3,2301.0,9.15,-5.24,5.47,6.52,130.82
Devin Sweet,166,87.44,95.0,2170.09,11.77,-5.1,6.0,6.49,112.8
Diego Castillo,157,88.89,95.9,2063.23,5.39,-5.95,5.64,5.58,104.27
Domingo Acevedo,173,88.45,95.2,2031.4,9.3,-11.62,5.77,5.78,96.3
Domingo Germán,1646,87.08,94.9,2538.84,8.08,-7.95,5.54,6.07,122.22
Domingo Tapia,317,95.33,100.2,2182.44,11.99,-11.67,5.79,6.01,118.5
Dominic Leone,412,91.63,98.1,2427.95,6.82,0.14,5.76,6.49,119.3
Drew Carlton,329,89.45,94.4,2115.19,8.86,-10.95,5.38,6.11,95.91
Drew Rasmussen,667,90.09,97.9,2618.58,5.09,2.04,5.94,6.55,146.65
Drew Rucinski,350,86.43,91.7,1995.8,6.91,-4.67,5.62,6.67,89.11
Drey Jameson,673,91.75,99.6,2240.8,5.94,-5.75,5.59,5.71,116.52
Dylan Cease,3260,89.0,98.6,2618.77,6.95,-0.07,6.16,6.3,122.05
Dylan Coleman,381,88.73,98.1,2446.84,7.82,6.44,5.77,6.66,113.38
Dylan Floro,300,89.37,93.8,2048.24,8.02,-10.04,5.97,6.49,107.33
Easton Lucas,148,89.65,95.5,2079.46,10.78,0.71,5.96,6.51,91.82
Edgar Navarro,150,89.03,95.5,2325.85,1.38,-6.14,5.47,6.52,107.61
Eduard Bazardo,270,88.65,96.6,2265.87,5.79,1.86,5.86,6.01,100.42
Eduardo Rodriguez,2362,89.8,95.5,2108.73,10.73,6.53,5.81,6.28,92.87
Eli Morgan,1189,86.14,95.1,2183.8,9.58,-7.73,5.68,6.59,137.8
Emerson Hancock,194,89.95,95.2,2216.32,8.47,-10.82,5.42,6.31,87.27
Emilio Pagán,1060,91.77,98.4,2391.61,12.22,-4.23,5.6,6.78,138.58
Emmanuel Clase,1115,96.53,102.8,2620.35,7.12,5.08,6.03,6.51,127.51
Enyel De Los Santos,1047,91.4,98.6,2208.13,8.73,-7.77,5.42,6.25,98.31
Erasmo Ramírez,546,87.33,94.2,2249.15,8.21,-4.17,5.37,6.44,96.18
Erik Swanson,1057,88.35,96.5,1754.14,10.41,-8.54,6.04,6.7,106.17
Framber Valdez,2920,89.57,98.4,2319.1,1.72,7.37,6.18,5.9,122.39
Francisco Pérez,308,87.39,94.9,2127.27,8.96,5.32,6.31,6.01,94.45
Freddy Tarnok,287,90.17,97.7,2331.08,10.06,-2.55,6.61,5.85,114.83
Félix Bautista,976,96.19,103.4,2044.38,16.35,-6.25,6.93,6.63,149.14
Gabe Speier,782,91.26,97.6,2084.51,5.89,9.34,5.4,5.96,101.4
Garrett Acton,124,92.09,97.5,2380.86,14.54,-7.08,6.1,5.99,131.51
Garrett Cleavinger,209,88.46,97.8,2547.58,3.38,0.96,5.26,6.16,124.55
Garrett Crochet,291,92.48,99.0,2299.49,10.83,0.85,6.12,7.15,125.62
Garrett Hill,308,89.47,97.1,2249.41,8.22,-6.03,5.21,6.36,121.23
Garrett Whitlock,1194,87.96,97.4,2096.48,6.79,-10.03,5.72,7.52,152.58
Gavin Williams,1386,89.57,99.3,2217.96,6.89,-3.83,5.88,7.39,132.5
George Kirby,2812,91.6,99.7,2154.64,6.39,-4.36,5.87,6.45,106.95
Gerardo Reyes,214,92.04,98.8,2328.02,10.7,-3.45,5.42,5.81,134.88
Gerrit Cole,3279,92.62,99.9,2431.78,9.42,-3.05,5.92,6.29,120.15
Glenn Otto,192,86.02,95.8,2428.44,5.72,6.81,5.98,6.82,110.21
Grant Anderson,597,88.82,95.4,2270.34,5.68,-6.88,4.31,6.66,117.01
Grayson Rodriguez,2104,90.35,101.0,2223.17,8.5,-5.97,5.78,7.13,137.96
Greg Weissert,346,89.61,96.7,2333.7,6.7,-3.39,4.94,6.27,126.22
Gregory Santos,1043,94.78,103.1,2454.52,4.06,-2.43,5.89,6.61,163.11
Griffin Canning,2068,90.16,97.3,2279.52,4.54,-4.53,5.82,5.96,114.05
Griffin Jax,1044,90.76,98.4,2635.82,3.35,2.61,5.5,6.33,122.94
Génesis Cabrera,365,92.46,98.6,2232.16,10.49,6.12,5.92,5.99,107.81
Hector Neris,1078,89.84,95.0,2042.55,11.36,-9.33,6.04,6.15,102.91
Hogan Harris,1108,87.4,96.3,2224.69,10.17,6.98,5.99,6.34,109.08
Hunter Brown,2717,91.19,99.0,2236.69,6.01,-1.32,6.17,6.68,109.3
Hunter Gaddis,685,87.29,95.8,2197.73,9.07,-2.55,6.12,6.72,104.92
Hyun Jin Ryu,830,82.1,91.1,1980.58,5.56,6.18,5.84,6.6,92.51
Ian Hamilton,970,91.71,98.3,1847.41,7.44,-5.24,6.07,5.99,106.69
Ian Kennedy,313,89.28,94.5,1883.53,13.6,-7.62,5.35,6.62,113.28
Isaiah Campbell,477,89.83,97.4,2597.68,7.82,2.04,6.49,6.38,112.04
J.P. France,2199,86.65,96.1,2420.88,6.6,1.0,5.52,6.25,117.98
JP Sears,2861,87.69,96.3,2188.08,10.0,5.75,4.76,6.53,129.85
Jack Flaherty,676,87.89,97.2,2373.95,5.71,2.39,5.35,6.75,117.26
Jackson Kowar,568,90.38,99.4,2192.71,6.54,-9.52,5.85,6.23,109.0
Jacob Lopez,193,86.27,92.7,2045.39,5.78,9.05,5.17,6.83,113.23
Jacob Webb,922,89.83,96.8,2400.16,11.12,-5.69,5.48,6.39,127.03
Jacob deGrom,451,95.22,101.2,2510.68,10.85,-3.9,5.64,6.74,156.1
Jaime Barria,1329,88.17,96.2,2104.35,10.17,-1.31,6.44,6.21,102.34
Jake Diekman,968,91.93,98.5,2253.97,8.18,11.2,5.46,6.45,145.22
Jakob Junis,1361,87.05,96.8,2276.69,2.36,3.44,5.82,5.98,106.05
Jalen Beeks,730,91.15,96.8,2026.37,10.71,9.93,6.01,6.5,125.22
James Kaprielian,1090,87.01,94.7,2064.38,8.48,-2.91,5.91,6.07,104.13
James Karinchak,732,89.56,97.3,2283.41,7.73,-2.82,6.63,5.98,143.05
James McArthur,339,87.56,96.8,2485.64,-2.31,0.46,5.72,6.75,134.33
James Paxton,1689,90.22,98.2,2101.99,7.97,7.33,6.08,6.75,108.22
Jason Adam,902,88.0,97.8,2517.03,6.53,-2.0,5.81,6.6,118.41
Jason Foley,1047,95.04,100.3,2004.91,4.97,-13.41,5.68,6.77,131.99
Javy Guerra,199,94.97,99.8,2278.75,10.59,-9.32,5.39,6.15,129.95
Jay Jackson,442,88.13,95.1,2269.42,8.14,-0.91,5.6,6.32,103.37
Jeffrey Springs,211,85.44,93.3,1975.45,10.24,5.89,5.93,6.53,111.38
Jesse Scholtens,1447,86.72,96.1,2156.95,6.02,1.93,6.07,6.92,115.21
Jeurys Familia,248,91.07,96.3,2104.41,5.2,-9.5,6.11,5.91,110.87
Jhoan Duran,1016,96.95,104.8,2160.62,4.49,-7.11,6.07,6.53,155.28
Jhonathan Diaz,160,84.87,92.2,2271.47,5.58,2.74,5.44,6.48,102.54
Jhony Brito,1442,90.76,98.5,2001.75,7.41,-9.89,6.11,6.24,112.45
Jimmy Cordero,512,94.28,100.1,2222.64,8.53,-9.2,6.17,7.23,150.19
Jimmy Herget,505,83.79,94.2,2560.4,3.68,2.19,4.99,5.04,123.12
Jimmy Lambert,675,87.77,96.8,2315.15,5.95,-3.02,6.2,5.83,105.64
Joe Barlow,147,88.37,95.1,2381.26,11.14,0.91,5.78,6.16,112.75
Joe Boyle,240,93.1,100.3,2469.35,8.18,-1.06,6.33,6.63,121.0
Joe Jacques,432,86.21,93.7,1978.87,-1.1,5.84,4.39,6.36,113.07
Joe Kelly,538,94.02,101.3,2507.49,3.28,-7.11,5.4,6.14,143.1
Joe Mantiply,570,85.15,92.0,2139.38,-0.14,9.64,5.2,6.48,117.9
Joe Musgrove,1549,87.41,96.3,2600.7,1.33,1.99,6.38,6.13,107.06
Joe Ryan,2674,88.11,96.0,2045.14,9.19,-7.4,5.0,6.5,113.55
Joel Kuhnel,137,91.49,96.6,2127.0,7.42,-8.93,5.82,7.08,123.87
Joely Rodríguez,215,88.47,93.5,1594.65,3.62,12.95,5.42,6.49,137.42
Joey Estes,165,87.55,95.4,2283.56,9.68,-4.69,5.99,5.95,92.16
Joey Wentz,1926,87.56,96.2,2279.87,7.96,6.14,6.04,6.44,100.27
John Brebbia,649,88.2,97.5,2498.06,8.36,1.03,5.88,6.79,109.5
John King,266,89.32,95.6,1954.4,1.08,14.16,5.36,6.12,118.38
John Means,339,85.77,94.2,2282.51,15.13,5.56,6.47,6.32,111.48
John Schreiber,819,88.05,95.4,2320.45,3.34,-1.73,4.01,6.65,138.23
Jon Gray,2391,90.44,98.1,2132.04,7.07,-3.24,5.56,6.56,104.73
Jonathan Heasley,221,87.93,98.2,2355.6,5.19,-0.74,5.93,6.24,96.4
Jonathan Hernández,552,92.34,99.8,2292.68,4.08,-8.07,5.39,6.44,133.86
Jonathan Loáisiga,235,95.39,99.9,2322.89,9.11,-13.3,5.57,6.54,138.46
Jordan Balazovic,392,89.55,97.5,2019.98,6.72,-2.49,6.0,6.37,110.17
Jordan Hicks,356,97.02,103.2,2220.8,7.69,-10.64,5.82,6.56,128.9
Jordan Lyles,2783,85.88,94.0,2274.37,5.99,-0.34,5.93,6.82,99.88
Jordan Montgomery,993,87.81,95.5,2095.3,8.12,8.07,6.73,6.57,112.13
Jordan Romano,911,91.37,99.9,2246.61,6.66,0.53,5.94,7.47,151.16
Jorge Alcala,315,90.94,99.3,2379.72,9.72,-6.37,6.58,5.82,113.19
Jorge López,712,91.61,99.6,2150.39,3.75,-6.46,5.75,6.31,113.04
Jose Cuas,739,89.02,94.7,2476.56,1.45,-9.7,4.06,6.36,119.23
Josh Fleming,752,85.11,93.6,1842.43,0.57,8.87,5.25,6.54,133.3
Josh Hader,1020,93.44,98.4,2178.6,14.59,5.48,5.55,6.78,188.76
Josh Sborz,833,90.72,99.2,2219.29,4.58,1.16,6.24,6.1,127.12
Josh Staumont,359,90.73,99.5,2412.85,7.04,0.48,6.32,6.64,118.48
Josh Taylor,341,88.35,94.7,2217.68,6.74,-1.87,5.86,6.87,109.72
Josh Winckowski,1380,91.66,99.0,2134.08,4.33,-3.72,5.99,6.6,116.04
Josh Winder,557,88.47,96.6,1921.71,4.83,-4.62,5.96,6.16,93.54
José Berríos,2932,88.8,97.4,2090.28,6.33,-4.78,5.63,6.52,105.94
José Cisnero,986,92.03,98.3,2342.59,7.95,-7.17,5.35,6.1,124.78
