Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Tyler Glasnow,LAD,30,8,8,0,0,50.0,33,15,63,13,4,6,1,0,0,0,2.70,0.92
Logan Gilbert,SEA,26,7,7,0,0,48.0,25,9,50,13,5,3,0,0,0,0,1.69,0.79
Ranger Suarez,PHI,28,7,7,1,1,47.0,28,9,46,6,4,6,0,0,0,0,1.72,0.72
Tanner Houck,BOS,27,7,7,1,1,45.1,37,11,46,7,1,3,3,0,0,0,2.18,0.97
Seth Lugo,KC,34,7,7,0,0,45.0,35,8,31,11,3,5,1,0,0,0,1.60,1.02
Jose Berrios,TOR,29,7,7,1,0,43.2,31,7,31,13,4,4,2,0,0,0,1.44,1.01
Aaron Nola,PHI,30,7,7,0,0,43.1,35,16,40,15,7,4,1,0,0,0,3.32,1.15
Zack Wheeler,PHI,33,7,7,0,0,42.1,27,9,52,12,3,3,3,0,0,0,1.91,0.92
Dylan Cease,SD,28,7,7,0,0,42.1,20,12,48,14,2,4,2,0,0,0,2.55,0.80
Logan Webb,SF,27,7,7,0,0,42.1,45,14,30,10,1,3,2,0,0,0,2.98,1.30
Nestor Cortes,NYY,29,7,7,0,0,42.0,39,18,37,7,5,1,3,0,0,0,3.86,1.10
Paul Blackburn,OAK,30,7,7,0,0,42.0,33,14,31,10,5,3,1,0,0,0,3.00,1.02
Michael King,SD,28,8,7,0,0,42.0,38,20,43,21,10,3,3,0,0,0,4.29,1.40
Luis Castillo,SEA,31,7,7,0,0,41.2,41,16,49,8,5,3,4,0,0,0,3.46,1.18
Nathan Eovaldi,TEX,34,7,7,0,0,41.1,29,12,44,19,3,2,2,0,0,0,2.61,1.16
Corbin Burnes,BAL,29,7,7,0,0,41.1,29,12,41,9,6,3,1,0,0,0,2.61,0.92
Brandon Pfaadt,ARI,25,7,7,0,0,41.0,43,21,42,6,5,1,2,0,0,0,4.61,1.20
Jared Jones,PIT,22,7,7,0,0,41.0,27,12,52,5,7,2,3,0,0,0,2.63,0.78
Joe Musgrove,SD,31,8,8,0,0,41.0,49,29,36,13,10,3,3,0,0,0,6.37,1.51
Zach Eflin,TB,30,7,7,0,0,41.0,44,19,36,4,6,1,4,0,0,0,4.17,1.17
Ross Stripling,OAK,34,7,7,0,0,40.1,46,19,27,8,3,1,5,0,0,0,4.24,1.34
Kutter Crawford,BOS,28,7,7,0,0,40.1,30,7,40,13,1,2,1,0,0,0,1.56,1.07
Reid Detmers,LAA,24,7,7,0,0,40.1,35,19,44,14,5,3,3,0,0,0,4.24,1.21
Brady Singer,KC,27,7,7,0,0,40.1,26,11,42,13,4,2,1,0,0,0,2.45,0.97
Hunter Greene,CIN,24,7,7,0,0,40.1,31,14,47,16,2,1,2,0,0,0,3.12,1.17
Martin Perez,PIT,33,7,7,0,0,40.0,42,14,31,13,2,1,2,0,0,0,3.15,1.38
Mitch Keller,PIT,28,7,7,0,0,40.0,44,23,39,15,5,2,3,0,0,0,5.18,1.48
Cal Quantrill,COL,29,7,7,0,0,39.2,37,19,26,14,6,1,3,0,0,0,4.31,1.29
Yusei Kikuchi,TOR,32,7,7,0,0,39.2,37,12,43,9,2,2,2,0,0,0,2.72,1.16
JP Sears,OAK,28,7,7,0,0,39.1,30,17,30,12,5,2,2,0,0,0,3.89,1.07
Erick Fedde,CWS,31,7,7,0,0,39.0,32,15,41,14,7,2,0,0,0,0,3.46,1.18
Zack Littell,TB,28,7,7,0,0,39.0,46,13,42,5,3,1,2,0,0,0,3.00,1.31
Ronel Blanco,HOU,30,6,6,1,1,38.2,21,9,36,16,4,3,0,0,0,0,2.09,0.96
Jake Irvin,WSH,27,7,7,0,0,38.2,38,16,30,8,3,2,3,0,0,0,3.72,1.19
George Kirby,SEA,26,7,7,0,0,38.1,36,16,41,4,2,3,2,0,0,0,3.76,1.04
Jordan Hicks,SF,27,7,7,0,0,38.0,25,8,30,14,1,2,1,0,0,0,1.89,1.03
Andrew Abbott,CIN,24,7,7,0,0,38.0,33,14,35,11,7,1,4,0,0,0,3.32,1.16
Kyle Harrison,SF,22,7,7,0,0,38.0,39,16,38,10,5,2,1,0,0,0,3.79,1.29
Austin Gomber,COL,30,7,7,0,0,38.0,36,16,25,13,7,0,2,0,0,0,3.79,1.29
Kyle Gibson,STL,36,6,6,0,0,38.0,29,16,29,14,6,2,2,0,0,0,3.79,1.13
Miles Mikolas,STL,35,7,7,0,0,38.0,46,24,29,7,7,2,4,0,0,0,5.68,1.39
Patrick Corbin,WSH,34,7,7,0,0,37.2,53,27,25,15,4,0,3,0,0,0,6.45,1.81
Michael Wacha,KC,32,7,7,0,0,37.2,45,23,31,10,4,1,4,0,0,0,5.50,1.46
Pablo Lopez,MIN,28,7,7,0,0,37.2,31,18,45,8,6,3,2,0,0,0,4.30,1.04
Dane Dunning,TEX,29,7,7,0,0,37.1,26,17,43,17,7,3,2,0,0,0,4.10,1.15
Marcus Stroman,NYY,33,7,7,0,0,37.0,33,14,35,20,5,2,1,0,0,0,3.41,1.43
Logan Allen,CLE,25,7,7,0,0,37.0,40,21,31,12,7,3,2,0,0,0,5.11,1.41
Tarik Skubal,DET,27,6,6,0,0,36.2,21,7,41,6,2,4,0,0,0,0,1.72,0.74
Aaron Civale,TB,28,7,7,0,0,36.2,39,25,39,10,7,2,2,0,0,0,6.14,1.34
Cole Ragans,KC,26,7,7,1,0,36.2,37,14,46,13,1,2,2,0,0,0,3.44,1.36
Chris Sale,ATL,35,6,6,0,0,36.2,28,14,42,7,4,4,1,0,0,0,3.44,0.95
Carlos Rodon,NYY,31,7,7,0,0,36.2,33,15,36,14,6,2,2,0,0,0,3.68,1.28
Chris Bassitt,TOR,35,7,7,0,0,36.1,43,22,34,18,6,2,5,0,0,0,5.45,1.68
Tyler Anderson,LAA,34,6,6,0,0,36.1,24,9,27,15,5,2,3,0,0,0,2.23,1.07
Jose Quintana,NYM,35,7,7,0,0,36.1,40,21,25,16,3,1,3,0,0,0,5.20,1.54
Tanner Bibee,CLE,25,7,7,0,0,36.1,37,18,39,13,6,2,1,0,0,0,4.46,1.38
Clarke Schmidt,NYY,28,7,7,0,0,36.0,34,14,41,13,5,3,1,0,0,0,3.50,1.31
Charlie Morton,ATL,40,6,6,0,0,36.0,28,14,33,13,3,2,0,0,0,0,3.50,1.14
Jack Flaherty,DET,28,6,6,0,0,36.0,32,16,50,5,5,0,1,0,0,0,4.00,1.03
Lance Lynn,STL,36,7,7,0,0,35.2,34,13,33,16,5,1,0,0,0,0,3.28,1.40
Ryan Weathers,MIA,24,7,7,0,0,35.2,34,18,31,15,5,2,3,0,0,0,4.54,1.37
Bryce Miller,SEA,25,6,6,0,0,35.1,19,8,39,12,5,3,2,0,0,0,2.04,0.88
Luis Severino,NYM,30,6,6,0,0,35.0,26,9,31,11,2,2,2,0,0,0,2.31,1.06
Cole Irvin,BAL,30,6,6,0,0,34.2,30,11,22,7,2,3,1,0,0,0,2.86,1.07
Joe Ryan,MIN,27,6,6,0,0,34.2,31,13,41,5,4,1,1,0,0,0,3.38,1.04
Keaton Winn,SF,26,7,7,0,0,34.2,27,17,28,12,3,3,4,0,0,0,4.41,1.13
Garrett Crochet,CWS,24,7,7,0,0,34.2,29,23,47,9,7,1,4,0,0,0,5.97,1.10
Ryan Pepiot,TB,26,6,6,0,0,34.2,20,12,38,10,4,3,2,0,0,0,3.12,0.87
Graham Ashcraft,CIN,26,6,6,0,0,34.2,35,14,30,9,5,3,1,0,0,0,3.63,1.27
Shota Imanaga,CHC,30,6,6,0,0,34.2,22,3,35,4,2,5,0,0,0,0,0.78,0.75
Dean Kremer,BAL,28,6,6,0,0,34.1,27,16,31,10,8,2,2,0,0,0,4.19,1.08
Yoshinobu Yamamoto,LAD,25,7,7,0,0,34.0,29,11,42,8,3,3,1,0,0,0,2.91,1.09
Grayson Rodriguez,BAL,24,6,6,0,0,34.0,36,14,37,12,4,4,1,0,0,0,3.71,1.41
Trevor Rogers,MIA,26,7,7,0,0,33.2,43,23,28,15,4,0,5,0,0,0,6.15,1.72
Freddy Peralta,MIL,27,6,6,0,0,33.2,20,12,45,9,4,3,0,0,0,0,3.21,0.86
Colin Rea,MIL,33,6,6,0,0,33.2,30,10,23,11,5,3,0,0,0,0,2.67,1.22
Kevin Gausman,TOR,33,7,7,0,0,33.1,35,14,31,8,4,2,3,0,0,0,3.78,1.29
Ryan Feltner,COL,27,6,6,0,0,33.1,39,19,33,10,4,1,2,0,0,0,5.13,1.47
Michael Soroka,CWS,26,7,7,0,0,33.1,35,24,16,19,7,0,3,0,0,0,6.48,1.62
Reese Olson,DET,24,6,6,0,0,33.1,28,10,31,13,0,0,4,0,0,0,2.70,1.23
Jon Gray,TEX,32,7,6,0,0,32.2,28,9,35,11,2,1,1,0,0,0,2.48,1.19
Spencer Turnbull,PHI,31,6,6,0,0,32.1,17,6,36,10,3,2,0,0,0,0,1.67,0.84
Zac Gallen,ARI,28,6,6,0,0,32.0,30,12,35,9,4,3,2,0,0,0,3.38,1.22
Patrick Sandoval,LAA,27,7,7,0,0,32.0,38,21,38,16,2,1,5,0,0,0,5.91,1.69
Bailey Falter,PIT,27,6,6,0,0,32.0,23,15,23,7,5,2,2,0,0,0,4.22,0.94
Chris Paddack,MIN,28,6,6,0,0,32.0,40,17,27,7,5,3,1,0,0,0,4.78,1.47
Javier Assad,CHC,26,6,6,0,0,32.0,23,7,27,9,2,2,0,0,0,0,1.97,1.00
Bailey Ober,MIN,28,6,6,0,0,31.2,26,16,28,7,4,3,1,0,0,0,4.55,1.04
Casey Mize,DET,27,6,6,0,0,31.2,35,14,24,7,2,1,1,0,0,0,3.98,1.33
Trevor Williams,WSH,32,6,6,0,0,31.2,25,8,22,12,0,3,0,0,0,0,2.27,1.17
Max Fried,ATL,30,6,6,1,1,31.1,26,14,25,11,2,2,0,0,0,0,4.02,1.18
Alex Wood,OAK,33,7,7,0,0,31.1,45,22,29,17,5,1,2,0,0,0,6.32,1.98
Joe Ross,MIL,30,6,6,0,0,31.0,36,16,27,12,3,1,3,0,0,0,4.65,1.55
Matt Waldron,SD,27,6,6,0,0,31.0,32,15,27,10,4,1,3,0,0,0,4.35,1.35
Gavin Stone,LAD,25,6,6,0,0,31.0,29,14,23,13,2,2,1,0,0,0,4.06,1.35
MacKenzie Gore,WSH,25,6,6,0,0,31.0,33,11,38,9,2,2,3,0,0,0,3.19,1.35
Luis Gil,NYY,25,6,6,0,0,31.0,17,11,40,20,2,2,1,0,0,0,3.19,1.19
Emerson Hancock,SEA,24,6,6,0,0,30.1,30,16,23,9,5,3,3,0,0,0,4.75,1.29
Sonny Gray,STL,34,5,5,0,0,30.1,21,3,38,5,1,4,1,0,0,0,0.89,0.86
Dakota Hudson,COL,29,6,6,0,0,30.1,34,20,18,17,3,0,5,0,0,0,5.93,1.68
Reynaldo Lopez,ATL,30,5,5,0,0,30.0,20,5,31,10,2,2,1,0,0,0,1.50,1.00
Andrew Heaney,TEX,32,6,6,0,0,30.0,24,17,26,9,5,0,4,0,0,0,5.10,1.10
Nick Martinez,CIN,33,7,4,0,0,30.0,36,17,22,4,2,0,2,0,0,1,5.10,1.33
Chris Flexen,CWS,29,7,5,0,0,29.2,27,16,17,12,5,1,3,0,0,0,4.85,1.31
Sean Manaea,NYM,32,6,6,0,0,29.1,24,10,30,18,1,1,1,0,0,0,3.07,1.43
Cristopher Sanchez,PHI,27,6,6,0,0,29.1,32,12,29,13,1,1,3,0,0,0,3.68,1.53
Griffin Canning,LAA,27,6,6,0,0,29.0,33,24,21,12,5,1,3,0,0,0,7.45,1.55
Triston McKenzie,CLE,26,6,6,0,0,29.0,25,14,24,18,4,2,2,0,0,0,4.34,1.48
Jose Soriano,LAA,25,7,5,0,0,28.2,22,12,26,15,3,1,4,0,0,1,3.77,1.29
Tyler Alexander,TB,29,6,3,0,0,28.2,31,16,23,9,5,1,1,0,0,0,5.02,1.40
Adrian Houser,NYM,31,6,6,0,0,28.2,33,26,16,20,2,0,3,0,0,0,8.16,1.85
Kenta Maeda,DET,36,6,6,0,0,28.2,28,16,22,7,8,1,1,0,0,0,5.02,1.22
Yu Darvish,SD,37,6,6,0,0,28.2,23,11,25,10,2,1,1,0,0,0,3.45,1.15
Tommy Henry,ARI,26,6,6,0,0,28.1,35,17,24,11,4,1,2,0,0,0,5.40,1.62
Jose Butto,NYM,26,5,5,0,0,28.0,16,8,31,14,2,0,2,0,0,0,2.57,1.07
Ben Brown,CHC,24,8,4,0,0,27.2,24,13,27,11,2,0,1,0,0,1,4.23,1.27
Steven Matz,STL,32,6,6,0,0,27.2,37,19,17,11,3,1,2,0,0,0,6.18,1.73
Carlos Carrasco,CLE,37,6,6,0,0,27.1,31,20,23,15,5,1,2,0,0,0,6.59,1.68
Ryan Yarbrough,LAD,32,9,0,0,0,27.0,15,9,12,5,3,2,1,1,0,0,3.00,0.74
Brayan Bello,BOS,24,5,5,0,0,26.2,21,9,26,7,4,3,1,0,0,0,3.04,1.05
Joe Boyle,OAK,24,6,6,0,0,26.2,24,18,28,20,2,2,4,0,0,0,6.08,1.65
Alec Marsh,KC,25,5,5,0,0,26.2,20,8,17,7,1,3,0,0,0,0,2.70,1.01
Jesus Luzardo,MIA,26,5,5,0,0,26.0,24,19,27,13,5,0,2,0,0,0,6.58,1.42
James Paxton,LAD,35,5,5,0,0,25.2,21,10,15,22,2,3,0,0,0,0,3.51,1.68
J.P. France,HOU,29,5,5,0,0,25.1,31,21,22,12,5,0,3,0,0,0,7.46,1.70
Merrill Kelly,ARI,35,4,4,0,0,24.2,17,6,21,6,3,2,0,0,0,0,2.19,0.93
Jameson Taillon,CHC,32,4,4,0,0,24.0,16,3,16,5,2,3,0,0,0,0,1.13,0.88
Bryse Wilson,MIL,26,9,3,0,0,24.0,17,8,21,7,4,2,1,0,0,0,3.00,1.00
Nick Lodolo,CIN,26,4,4,0,0,24.0,15,5,31,6,1,3,0,0,0,0,1.88,0.88
Cristian Javier,HOU,27,4,4,0,0,23.1,15,4,18,11,1,2,0,0,0,0,1.54,1.11
Hunter Brown,HOU,25,6,6,0,0,23.0,37,25,24,14,5,0,4,0,0,0,9.78,2.22
Jordan Wicks,CHC,24,5,5,0,0,23.0,26,12,28,9,2,1,2,0,0,0,4.70,1.52
Michael Lorenzen,TEX,32,4,4,0,0,23.0,16,9,17,12,3,2,1,0,0,0,3.52,1.22
Framber Valdez,HOU,30,4,4,0,0,22.2,25,10,19,7,2,1,1,0,0,0,3.97,1.41
Josh Winckowski,BOS,25,10,3,0,0,22.1,24,8,19,10,2,1,1,0,0,0,3.22,1.52
Luke Weaver,NYY,30,12,0,0,0,22.0,12,7,21,4,2,3,0,0,0,3,2.86,0.73
Ben Lively,CLE,32,4,4,0,0,21.2,16,5,24,6,2,1,1,0,0,0,2.08,1.02
Mitchell Parker,WSH,24,4,4,0,0,21.1,19,6,19,4,0,2,1,0,0,0,2.53,1.08
Kyle Hendricks,CHC,34,5,5,0,0,21.0,37,28,16,7,8,0,3,0,0,0,12.00,2.10
Derek Law,WSH,33,16,0,0,0,21.0,25,8,23,6,2,2,1,0,1,2,3.43,1.48
Alex Faedo,DET,28,12,0,0,0,21.0,16,6,16,8,3,2,1,0,2,2,2.57,1.14
Jose Urena,TEX,32,10,0,0,0,20.2,18,10,16,9,2,0,2,0,0,0,4.35,1.31
Peter Lambert,COL,27,9,2,0,0,20.2,22,13,18,9,2,2,1,0,0,0,5.66,1.50
Kyle Muller,OAK,26,8,0,0,0,20.2,17,6,16,3,2,0,0,0,0,0,2.61,0.97
Bryce Jarvis,ARI,26,13,0,0,0,20.0,18,11,18,14,3,0,1,0,0,2,4.95,1.60
Victor Vodnik,COL,24,14,0,0,0,19.2,18,5,18,9,0,0,0,0,0,0,2.29,1.37
Bryan Hoeing,MIA,27,11,0,0,0,19.2,13,4,16,5,1,0,0,0,0,2,1.83,0.92
Brent Suter,CIN,34,12,0,0,0,19.2,18,8,17,6,3,0,0,0,0,1,3.66,1.22
Frankie Montas,CIN,31,5,5,0,0,19.1,18,9,14,10,3,2,2,0,0,0,4.19,1.45
Bryan Hudson,MIL,26,13,0,0,0,19.1,9,2,21,5,1,2,0,0,0,3,0.93,0.72
Edward Cabrera,MIA,26,4,4,0,0,19.1,19,13,30,10,2,1,1,0,0,0,6.05,1.50
Cody Bradford,TEX,26,3,3,0,0,19.1,10,3,17,2,1,3,0,0,0,0,1.40,0.62
Justin Slaten,BOS,26,11,0,0,0,19.0,11,2,15,2,0,2,0,1,0,3,0.95,0.68
Mitch Spence,OAK,25,8,0,0,0,19.0,12,6,16,5,1,3,1,0,0,0,2.84,0.89
Michael Grove,LAD,27,12,1,0,0,19.0,19,13,23,7,1,1,1,0,0,3,6.16,1.37
Garrett Whitlock,BOS,27,4,4,0,0,18.1,14,4,17,7,1,1,0,0,0,0,1.96,1.15
Seth Martinez,HOU,29,15,0,0,0,18.1,13,4,11,4,2,2,2,0,0,1,1.96,0.93
Michael Kelly,OAK,31,15,0,0,0,18.1,16,6,12,5,2,2,0,0,0,2,2.95,1.15
Jose Suarez,LAA,26,10,0,0,0,18.0,22,18,19,14,3,0,0,0,0,0,9.00,2.00
Ryan Helsley,STL,29,18,0,0,0,18.0,14,3,19,2,1,2,2,11,1,0,1.50,0.89
JoJo Romero,STL,27,17,0,0,0,17.2,8,3,18,2,1,0,0,0,0,11,1.53,0.57
Buck Farmer,CIN,33,12,0,0,0,17.2,13,6,14,5,2,0,0,0,0,0,3.06,1.02
Justin Verlander,HOU,41,3,3,0,0,17.1,13,4,13,7,2,1,0,0,0,0,2.08,1.15
Michael Kopech,CWS,28,15,0,0,0,17.1,12,8,25,10,3,1,3,2,1,1,4.15,1.27
Yennier Cano,BAL,30,17,0,0,0,17.1,15,4,17,5,2,2,1,1,1,8,2.08,1.15
Matt Manning,DET,26,3,3,0,0,17.0,12,8,17,8,3,0,1,0,0,0,4.24,1.18
Ian Hamilton,NYY,28,13,0,0,0,17.0,12,5,13,8,0,0,0,0,0,5,2.65,1.18
Zack Thompson,STL,26,5,2,0,0,17.0,24,18,20,8,6,0,2,0,0,0,9.53,1.88
Luis Ortiz,PIT,25,10,0,0,0,17.0,10,6,14,10,0,1,1,0,1,1,3.18,1.18
Max Meyer,MIA,25,3,3,0,0,17.0,11,4,14,3,2,2,0,0,0,0,2.12,0.82
Ryan Walker,SF,28,17,1,0,0,17.0,12,5,21,4,0,3,2,0,0,3,2.65,0.94
Reed Garrett,NYM,31,11,0,0,0,17.0,9,1,29,8,1,5,0,1,1,1,0.53,1.00
Hunter Harvey,WSH,29,15,0,0,0,17.0,14,5,22,4,0,1,1,0,0,11,2.65,1.06
Marco Gonzales,PIT,32,3,3,0,0,17.0,15,5,11,5,1,0,0,0,0,0,2.65,1.18
David Robertson,TEX,39,14,0,0,0,16.2,9,2,20,5,1,1,0,0,2,10,1.08,0.84
Chase Anderson,BOS,36,8,1,0,0,16.2,14,9,9,5,3,0,1,2,0,0,4.86,1.14
Stephen Kolek,SD,27,16,0,0,0,16.2,19,7,15,7,1,0,0,0,0,2,3.78,1.56
